Burst No., Message Pair No., o(i), d(i), theta(i), delta(i), t1, t2, t3, t4
Burst No., Message Pair No., o(i), d(i), theta(i), delta(i), t1, t2, t3, t4
0, 1, 612627456.0, 647542784, 0, 0, 16831760294327427072, 16831760295263825920, 16831760295264274432, 16831760294975418368
1, 1, 89623552.0, 651110400, 0, 0, 16831760294976090112, 16831760295391268864, 16831760295391367168, 16831760295627298816
2, 1, 363594752.0, 139970560, 0, 0, 16831760295628935168, 16831760296062515200, 16831760296062681088, 16831760295769071616
3, 1, 86337536.0, 671526912, 0, 0, 16831760295770124288, 16831760296192225280, 16831760296192323584, 16831760296441749504
4, 1, 96531456.0, 705341440, 0, 0, 16831760296443127808, 16831760296892329984, 16831760296892424192, 16831760297148563456
5, 1, 362231808.0, 130682880, 0, 0, 16831760297149337600, 16831760297576910848, 16831760297577013248, 16831760297280122880
6, 1, 125196288.0, 609595392, 0, 0, 16831760297281212416, 16831760297711206400, 16831760297711300608, 16831760297890902016
7, 1, -105527296.0, 1051742208, 0, 0, 16831760297891827712, 16831760298312171520, 16831760298312286208, 16831760298943684608
0, 2, 370927616.0, 159412224, 362231808.0, 130682880, 16831761329764331520, 16831761330214965248, 16831761330215116800, 16831761329923895296
1, 2, 362429440.0, 115914752, 362231808.0, 130682880, 16831761329928742912, 16831761330349129728, 16831761330349211648, 16831761330044739584
2, 2, 368382976.0, 118413312, 362429440.0, 115914752, 16831761330045648896, 16831761330473238528, 16831761330473334784, 16831761330164158464
3, 2, 362695680.0, 122906624, 362429440.0, 115914752, 16831761330165051392, 16831761330589200384, 16831761330589294592, 16831761330288052224
4, 2, 363261952.0, 121368576, 362429440.0, 115914752, 16831761330288869376, 16831761330712815616, 16831761330712905728, 16831761330410328064
5, 2, 372669440.0, 128055296, 362429440.0, 115914752, 16831761330411196416, 16831761330847893504, 16831761330847977472, 16831761330539335680
6, 2, 370814976.0, 126124032, 362429440.0, 115914752, 16831761330540736512, 16831761330974613504, 16831761330974699520, 16831761330666946560
7, 2, 360888320.0, 121745408, 362429440.0, 115914752, 16831761330668298240, 16831761331090059264, 16831761331090169856, 16831761330790154240
0, 3, 264714240.0, 145887232, 362429440.0, 115914752, 16831762361696710656, 16831762362034368512, 16831762362034520064, 16831762361842749440
1, 3, 260388864.0, 112857088, 362429440.0, 115914752, 16831762361844477952, 16831762362161295360, 16831762362161381376, 16831762361957421056
2, 3, 275490816.0, 138043392, 260388864.0, 112857088, 16831762361959163904, 16831762362303676416, 16831762362303772672, 16831762362097303552
3, 3, 270522368.0, 129609728, 260388864.0, 112857088, 16831762362098552832, 16831762362433880064, 16831762362433974272, 16831762362228256768
4, 3, 262280192.0, 120109056, 260388864.0, 112857088, 16831762362229055488, 16831762362551390208, 16831762362551488512, 16831762362349262848
5, 3, 263653376.0, 122458112, 260388864.0, 112857088, 16831762362350256128, 16831762362675138560, 16831762362675236864, 16831762362472812544
6, 3, 264353792.0, 118853632, 260388864.0, 112857088, 16831762362474391552, 16831762362798172160, 16831762362798264320, 16831762362593337344
7, 3, 266873856.0, 122730496, 260388864.0, 112857088, 16831762362594465792, 16831762362922704896, 16831762362922799104, 16831762362717290496
0, 4, 267975680.0, 164734976, 260388864.0, 112857088, 16831763393533216768, 16831763393883559936, 16831763393883713536, 16831763393698105344
