,Burst No.,Message Pair No.,o(i),d(i),theta(i),delta(i),t1,t2,t3,t4
0,1,1,612627456.0,647542784,0.0,0,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
1,2,1,89623552.0,651110400,0.0,0,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
2,3,1,363594752.0,139970560,0.0,0,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
3,4,1,86337536.0,671526912,0.0,0,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
4,5,1,96531456.0,705341440,0.0,0,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
5,6,1,362231808.0,130682880,0.0,0,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
6,7,1,125196288.0,609595392,0.0,0,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
7,8,1,-105527296.0,1051742208,0.0,0,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
8,1,2,370927616.0,159412224,362231808.0,130682880,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
9,2,2,362429440.0,115914752,362231808.0,130682880,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
10,3,2,368382976.0,118413312,362429440.0,115914752,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
11,4,2,362695680.0,122906624,362429440.0,115914752,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
12,5,2,363261952.0,121368576,362429440.0,115914752,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
13,6,2,372669440.0,128055296,362429440.0,115914752,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
14,7,2,370814976.0,126124032,362429440.0,115914752,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
15,8,2,360888320.0,121745408,362429440.0,115914752,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
16,1,3,264714240.0,145887232,362429440.0,115914752,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
17,2,3,260388864.0,112857088,362429440.0,115914752,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
