Burst No., Message Pair No., o(i), d(i), theta(i), delta(i), t1, t2, t3, t4
0, 1, 9088000.0, 9263104, 0, 0, 16831762740959662080, 16831762740973381632, 16831762740973860864, 16831762740969404416
1, 1, 7795712.0, 1742848, 0, 0, 16831762740970569728, 16831762740979236864, 16831762740979290112, 16831762740972365824
2, 1, 7576576.0, 1681408, 0, 0, 16831762740972785664, 16831762740981202944, 16831762740981252096, 16831762740974516224
3, 1, 7484416.0, 1865728, 0, 0, 16831762740974923776, 16831762740983341056, 16831762740983369728, 16831762740976818176
4, 1, 7649280.0, 1691648, 0, 0, 16831762740977270784, 16831762740985765888, 16831762740985790464, 16831762740978987008
5, 1, 7646208.0, 2299904, 0, 0, 16831762740979341312, 16831762740988137472, 16831762740988186624, 16831762740981690368
6, 1, 7600128.0, 1875968, 0, 0, 16831762740981997568, 16831762740990535680, 16831762740990566400, 16831762740983904256
7, 1, 7657472.0, 1748992, 0, 0, 16831762740984242176, 16831762740992774144, 16831762740992815104, 16831762740986032128
0, 2, 10395648.0, 8740864, 7576576.0, 1681408, 16831763771786461184, 16831763771801227264, 16831763771801333760, 16831763771795308544
1, 2, 7607296.0, 2177024, 7576576.0, 1681408, 16831763771797360640, 16831763771806056448, 16831763771806121984, 16831763771799603200
2, 2, 7531520.0, 1640448, 7576576.0, 1681408, 16831763771799973888, 16831763771808325632, 16831763771808368640, 16831763771801657344
3, 2, 7372800.0, 1433600, 7531520.0, 1640448, 16831763771802009600, 16831763771810099200, 16831763771810138112, 16831763771803482112
4, 2, 7452672.0, 1335296, 7372800.0, 1433600, 16831763771803779072, 16831763771811899392, 16831763771811926016, 16831763771805140992
5, 2, 7457792.0, 1480704, 7452672.0, 1335296, 16831763771805374464, 16831763771813572608, 16831763771813593088, 16831763771806875648
6, 2, 7114752.0, 1957888, 7452672.0, 1335296, 16831763771807084544, 16831763771815178240, 16831763771815202816, 16831763771809067008
7, 2, 7491584.0, 1560576, 7452672.0, 1335296, 16831763771809323008, 16831763771817594880, 16831763771817621504, 16831763771810910208
0, 3, 14842880.0, 7788544, 7452672.0, 1335296, 16831764802606215168, 16831764802624952320, 16831764802625077248, 16831764802614128640
1, 3, 12682240.0, 2193408, 7452672.0, 1335296, 16831764802615132160, 16831764802628911104, 16831764802628958208, 16831764802617372672
2, 3, 12549120.0, 1894400, 7452672.0, 1335296, 16831764802618114048, 16831764802631610368, 16831764802631659520, 16831764802620057600
3, 3, 12472320.0, 1544192, 7452672.0, 1335296, 16831764802620389376, 16831764802633633792, 16831764802633678848, 16831764802621978624
4, 3, 12464128.0, 1536000, 7452672.0, 1335296, 16831764802622515200, 16831764802635747328, 16831764802635780096, 16831764802624083968
5, 3, 12520448.0, 1398784, 7457792.0, 1480704, 16831764802624401408, 16831764802637621248, 16831764802637656064, 16831764802625835008
6, 3, 12613632.0, 1503232, 12520448.0, 1398784, 16831764802626023424, 16831764802639388672, 16831764802639421440, 16831764802627559424
7, 3, 12411904.0, 1320960, 12520448.0, 1398784, 16831764802627774464, 16831764802640846848, 16831764802640871424, 16831764802629120000
0, 4, 12784640.0, 9050112, 12411904.0, 1320960, 16831765833424891904, 16831765833442201600, 16831765833442332672, 16831765833434073088
1, 4, 10930176.0, 2633728, 12411904.0, 1320960, 16831765833435230208, 16831765833447477248, 16831765833447534592, 16831765833437921280
2, 4, 11197440.0, 3237888, 12411904.0, 1320960, 16831765833438631936, 16831765833451448320, 16831765833451483136, 16831765833441904640
3, 4, 10980352.0, 2136064, 12411904.0, 1320960, 16831765833442777088, 16831765833454825472, 16831765833454864384, 16831765833444952064
4, 4, 11065344.0, 2240512, 12411904.0, 1320960, 16831765833446060032, 16831765833458245632, 16831765833458278400, 16831765833448333312
5, 4, 10866688.0, 1687552, 12411904.0, 1320960, 16831765833448820736, 16831765833460531200, 16831765833460559872, 16831765833450536960
6, 4, 10872832.0, 1966080, 12411904.0, 1320960, 16831765833450903552, 16831765833462759424, 16831765833462796288, 16831765833452906496
7, 4, 10866688.0, 1576960, 12411904.0, 1320960, 16831765833453324288, 16831765833464979456, 16831765833465006080, 16831765833454927872
0, 5, 13513728.0, 7759872, 10866688.0, 1576960, 16831766864250851328, 16831766864268244992, 16831766864268423168, 16831766864258789376
1, 5, 12204032.0, 4308992, 10866688.0, 1576960, 16831766864260012032, 16831766864274370560, 16831766864274460672, 16831766864264411136
2, 5, 11374592.0, 2801664, 10866688.0, 1576960, 16831766864265158656, 16831766864277934080, 16831766864278007808, 16831766864268034048
