Burst No., Message Pair No., o(i), d(i), theta(i), delta(i), t1, t2, t3, t4
0, 1, 443399379.0, 387471170, 0, 0, 16831758530150119424, 16831758530787254388, 16831758530787293490, 16831758530537629696
1, 1, 408711791.5, 305155059, 0, 0, 16831758530538053632, 16831758531099342953, 16831758531099372662, 16831758530843238400
2, 1, 407280094.5, 284992047, 0, 0, 16831758530843478016, 16831758531393254134, 16831758531393323207, 16831758531128539136
3, 1, 398580385.0, 284774122, 0, 0, 16831758531128741888, 16831758531669709334, 16831758531669867308, 16831758531413673984
4, 1, 399833311.5, 282522965, 0, 0, 16831758531414409216, 16831758531955504010, 16831758531955527221, 16831758531696955392
5, 1, 405446274.0, 287127578, 0, 0, 16831758531698132992, 16831758532247143055, 16831758532247175797, 16831758531985293312
6, 1, 404783674.0, 284395834, 0, 0, 16831758531986247680, 16831758532533229271, 16831758532533284253, 16831758532270698496
7, 1, 402345768.0, 278654700, 0, 0, 16831758532271849472, 16831758532813522590, 16831758532813547442, 16831758532550529024
0, 2, 418807894.5, 321210725, 402345768.0, 278654700, 16831759563354513408, 16831759563933926665, 16831759563933967268, 16831759563675764736
1, 2, 357969887.5, 195996811, 402345768.0, 278654700, 16831759563678834688, 16831759564134802981, 16831759564134846874, 16831759563874875392
2, 2, 364714092.5, 211186245, 357969887.5, 195996811, 16831759563877013504, 16831759564347320719, 16831759564347432778, 16831759564088311808
3, 2, 356278055.5, 187920207, 357969887.5, 195996811, 16831759564089622528, 16831759564539860687, 16831759564539905920, 16831759564277587968
4, 2, 366204768.5, 203103577, 356278055.5, 187920207, 16831759564278407168, 16831759564746163725, 16831759564746209460, 16831759564481556480
5, 2, 358197183.5, 194692643, 356278055.5, 187920207, 16831759564482355200, 16831759564937898705, 16831759564937944238, 16831759564677093376
6, 2, 338174405.5, 243404347, 356278055.5, 187920207, 16831759564677982208, 16831759565137858787, 16831759565137965736, 16831759564921493504
7, 2, 358656641.5, 204921831, 356278055.5, 187920207, 16831759564922863616, 16831759565383981173, 16831759565384019086, 16831759565127823360
0, 3, 475235139.0, 466899900, 356278055.5, 187920207, 16831760595937335296, 16831760596646020385, 16831760596646424933, 16831760596404639744
1, 3, 356869419.0, 224330482, 356278055.5, 187920207, 16831760596406843392, 16831760596875878052, 16831760596876303282, 16831760596631599104
2, 3, 353543264.0, 219714798, 356278055.5, 187920207, 16831760596633352192, 16831760597096752855, 16831760597097116137, 16831760596853430272
3, 3, 368759563.5, 258880195, 356278055.5, 187920207, 16831760596855164928, 16831760597353364589, 16831760597353830826, 16831760597114511360
4, 3, 361950216.5, 231651961, 358197183.5, 194692643, 16831760597115658240, 16831760597593434437, 16831760597593874124, 16831760597347749888
5, 3, 378489236.0, 256333070, 358197183.5, 194692643, 16831760597348630528, 16831760597855286299, 16831760597855637261, 16831760597605314560
6, 3, 354691554.5, 219716107, 358656641.5, 204921831, 16831760597606150144, 16831760598070699752, 16831760598070987997, 16831760597826154496
7, 3, 359749565.0, 226900640, 358656641.5, 204921831, 16831760597827313664, 16831760598300513549, 16831760598301043309, 16831760598054744064
0, 4, 393002173.5, 325658075, 353543264.0, 219714798, 16831761628847931392, 16831761629403762603, 16831761629403924944, 16831761629173751808
1, 4, 358724720.0, 226868332, 353543264.0, 219714798, 16831761629176299520, 16831761629648458406, 16831761629648746042, 16831761629403455488
2, 4, 352096467.0, 234798388, 353543264.0, 219714798, 16831761629404473344, 16831761629873969005, 16831761629874057785, 16831761629639360512
3, 4, 353460639.0, 234690380, 354691554.5, 219716107, 16831761629641160704, 16831761630111966533, 16831761630112060921, 16831761629875945472
4, 4, 346055337.5, 222913461, 354691554.5, 219716107, 16831761629877022720, 16831761630334534788, 16831761630334728399, 16831761630100129792
5, 4, 128058635.0, 672930288, 354691554.5, 219716107, 16831761630101143552, 16831761630565667331, 16831761630565758995, 16831761630774165504
6, 4, 358944057.5, 240776313, 354691554.5, 219716107, 16831761630775283712, 16831761631254615926, 16831761631254754045, 16831761631016198144
7, 4, 357309767.5, 246536339, 346055337.5, 222913461, 16831761631017361408, 16831761631497939345, 16831761631498021118, 16831761631263979520
0, 5, 370042681.5, 1384691623, 346055337.5, 222913461, 16831762662157363200, 16831762663219751693, 16831762663220464486, 16831762663542767616
1, 5, -59002822.5, 1026879803, 346055337.5, 222913461, 16831762663549954048, 16831762664004391127, 16831762664028610460, 16831762664601053184
2, 5, 79455473.5, 778111987, 346055337.5, 222913461, 16831762664601980928, 16831762665070492395, 16831762665070788344, 16831762665380388864
3, 5, 24448176.5, 727596877, 346055337.5, 222913461, 16831762665381867520, 16831762665770114135, 16831762665770441994, 16831762666109792256
4, 5, 207094480.5, 431019593, 346055337.5, 222913461, 16831762666110871552, 16831762666533475829, 16831762666533924780, 16831762666542340096
5, 5, 278795248.5, 234449109, 358944057.5, 240776313, 16831762666543482880, 16831762666939502683, 16831762666940620678, 16831762666779049984
6, 5, 273289414.5, 229250589, 278795248.5, 234449109, 16831762666779619328, 16831762667167534037, 16831762667168146872, 16831762667009482752
7, 5, 301053390.5, 298878833, 273289414.5, 229250589, 16831762667010453504, 16831762667460946311, 16831762667461313046, 16831762667309699072
0, 6, 319110311.0, 401096748, 273289414.5, 229250589, 16831763698121154560, 16831763698640813245, 16831763698643149969, 16831763698524588032
1, 6, 284994100.0, 293551664, 273289414.5, 229250589, 16831763698529261568, 16831763698961031500, 16831763698962164508, 16831763698823946240
2, 6, 265504026.5, 254190747, 273289414.5, 229250589, 16831763698824830976, 16831763699217430376, 16831763699218813645, 16831763699080404992
3, 6, 261348712.0, 255873544, 273289414.5, 229250589, 16831763699081811968, 16831763699471097452, 16831763699472573540, 16831763699339161600
